Q15695756,ITA090014
Q55332561,ITA010001
Q55332563,ITA010002
Q55332564,ITA010003
Q55332565,ITA010004
Q55332566,ITA010005
Q55332567,ITA010007
Q55332569,ITA010008
Q55332570,ITA010009
Q55332571,ITA010010
Q55332572,ITA010011
Q55332573,ITA010012
Q55332574,ITA010013
Q55332575,ITA010014
Q55332576,ITA010015
Q55332577,ITA010016
Q55332578,ITA010017
Q55332579,ITA010018
Q55332580,ITA010019
Q55332581,ITA010020
Q55332582,ITA010021
Q55332584,ITA010022
Q55332585,ITA010023
Q55332586,ITA010026
Q55342100,ITA010024
Q55342101,ITA010025
Q55380401,ITA020001
Q55380402,ITA020002
Q55380403,ITA020003
Q55380404,ITA020004
Q55380405,ITA020005
Q55380406,ITA020006
Q55380407,ITA020007
Q55380408,ITA020008
Q55380410,ITA020009
Q55380411,ITA020011
Q55380413,ITA020012
Q55380414,ITA020013
Q55380415,ITA020014
Q55380416,ITA020015
Q55380417,ITA020016
Q55380419,ITA020017
Q55380420,ITA020018
Q55380421,ITA020019
Q55380422,ITA020020
Q55380423,ITA020021
Q55380424,ITA020022
Q55380425,ITA020023
Q55380426,ITA020024
Q55380428,ITA020025
Q55380429,ITA020026
Q55380430,ITA020028
Q55380431,ITA020029
Q55380432,ITA020031
Q55380433,ITA020032
Q55380435,ITA020033
Q55380436,ITA020034
Q55380437,ITA020035
Q55380438,ITA020036
Q55380439,ITA020037
Q55380440,ITA020038
Q55380442,ITA020039
Q55380443,ITA020040
Q55380444,ITA020041
Q55380445,ITA020043
Q55380446,ITA020044
Q55380447,ITA020045
Q55388994,ITA030001
Q55388995,ITA030002
Q55388997,ITA030003
Q55388999,ITA030004
Q55389000,ITA030005
Q55389002,ITA030006
Q55389003,ITA030007
Q55389004,ITA030008
Q55389006,ITA030009
Q55389008,ITA030010
Q55389009,ITA030011
Q55389010,ITA030012
Q55389012,ITA030013
Q55389013,ITA030014
Q55389014,ITA030015
Q55389016,ITA030016
Q55389017,ITA030017
Q55389018,ITA030018
Q55389020,ITA030019
Q55389021,ITA030020
Q55389022,ITA030021
Q55389024,ITA030022
Q55389026,ITA030023
Q55389027,ITA030024
Q55389029,ITA030025
Q55389030,ITA030026
Q55389032,ITA030027
Q55389033,ITA030028
Q55389034,ITA030029
Q55389037,ITA030030
Q55389038,ITA030031
Q55389039,ITA030032
Q55389040,ITA030033
Q55389042,ITA030034
Q55389043,ITA030035
Q55389044,ITA030036
Q55389046,ITA030037
Q55389047,ITA030038
Q55389048,ITA030039
Q55395334,ITA020046
Q55395336,ITA020047
Q55395337,ITA020048
Q55395340,ITA020049
Q55395341,ITA020050
Q55395343,ITA020051
Q55312218,IT1315670
Q55312219,IT1315971
Q55312220,IT1315972
Q55312221,IT1315973
Q55312222,IT1316001
Q55312223,IT1316118
Q55312224,IT1316175
Q55312225,IT1316274
Q55312227,IT1320425
Q55312229,IT1321205
Q55312230,IT1321313
Q55312231,IT1322219
Q55312232,IT1322304
Q55312233,IT1322326
Q55312234,IT1322470
Q55312235,IT1323202
Q55312236,IT1323271
Q55312237,IT1324172
Q55312238,IT1324908
Q55312239,IT1324909
Q55312241,IT1324973
Q55312242,IT1324974
Q55312243,IT1325624
Q55312244,IT1325675
Q55317019,IT1330213
Q55317020,IT1330223
Q55317021,IT1330620
Q55317022,IT1330893
Q55317024,IT1330905
Q55317025,IT1330925
Q55317026,IT1331012
Q55317028,IT1331019
Q55317029,IT1331104
Q55317031,IT1331402
Q55317034,IT1331501
Q55317035,IT1331606
Q55317036,IT1331615
Q55317037,IT1331718
Q55317038,IT1331721
Q55317040,IT1331810
Q55317041,IT1331811
Q55317042,IT1331909
Q55317043,IT1332477
Q55317044,IT1332575
Q55317045,IT1332576
Q55317046,IT1332603
Q55317047,IT1332614
Q55317048,IT1332622
Q55317049,IT1332673
Q55317050,IT1332674
Q55317051,IT1332717
Q55317052,IT1333307
Q55317053,IT1333308
Q55317054,IT1333316
Q55317055,IT1333369
Q55317056,IT1333370
Q55317058,IT1333371
Q55317059,IT1333372
Q55317060,IT1342806
Q55317947,IT1342813
Q55317948,IT1342824
Q55317949,IT1342907
Q55317950,IT1342908
Q55317951,IT1343412
Q55317952,IT1343415
Q55317953,IT1343419
Q55317954,IT1343425
Q55317957,IT1343474
Q55317958,IT1343502
Q55317959,IT1343511
Q55317960,IT1343518
Q55317961,IT1343520
Q55317962,IT1343526
Q55317963,IT1344210
Q55317964,IT1344216
Q55317965,IT1344270
Q55317966,IT1344271
Q55317967,IT1344272
Q55317968,IT1344273
Q55317969,IT1344321
Q55317971,IT1344323
Q55317972,IT1344422
Q55317973,IT1345005
Q55317974,IT1345101
Q55317975,IT1345103
Q55317976,IT1345104
Q55317977,IT1345109
Q55317978,IT1345114
Q55317980,IT1345175
Q55238384,ITB010001
Q55239024,ITB010002
Q55239026,ITB010003
Q55239027,ITB010004
Q55239029,ITB010006
Q55239030,ITB010007
Q55239108,ITB010009
Q55239109,ITB010043
Q52942871,ITB010082
Q55239110,ITB011102
Q55239111,ITB011155
Q55239141,ITB012211
Q55239547,ITB010008
Q55239523,ITB010010
Q55239524,ITB010011
Q55239525,ITB010042
Q55239526,ITB011109
Q55239528,ITB011113
Q55239529,ITB012212
Q55239530,ITB012213
Q55239449,ITB013011
Q55239450,ITB013012
Q55239451,ITB013018
Q55239454,ITB013019
Q55239455,ITB013044
Q55239457,ITB013048
Q55239459,ITB013049
Q55239671,ITB020012
Q55239672,ITB020013
Q55239674,ITB020040
Q55254303,ITB020041
Q55254231,ITB021101
Q55254233,ITB021107
Q55254164,ITB021156
Q55254166,ITB022215
Q55254168,ITB022217
Q55254537,ITB022212
Q55254439,ITB020015
Q55254441,ITB022214
Q55254795,ITB020014
Q55254797,ITB021103
Q55254663,ITB023037
Q55254666,ITB023049
Q55254668,ITB023050
Q55254670,ITB023051
Q55254978,ITB030033
Q55254980,ITB030036
Q55254983,ITB032201
Q55254985,ITB032229
Q55255188,ITB030016
Q55255190,ITB030032
Q55255192,ITB030034
Q55255194,ITB030035
Q55255197,ITB030037
Q55255199,ITB030038
Q55255201,ITB030080
Q55255203,ITB031104
Q55255205,ITB032219
Q55255207,ITB032228
Q55255211,ITB032239
Q55255213,ITB032240
Q55256102,ITB030039
Q55256103,ITB033036
Q55256104,ITB034001
Q55256107,ITB034004
Q55256109,ITB034005
Q55256110,ITB034006
Q55256111,ITB034007
Q55261110,ITB040026
Q55261111,ITB040081
Q55260914,ITB040027
Q55260915,ITB040028
Q55260916,ITB040029
Q55260917,ITB040030
Q55260918,ITB040031
Q55260919,ITB040071
Q55260921,ITB041111
Q55260922,ITB042208
Q55260923,ITB042209
Q55260924,ITB042210
Q55260925,ITB042218
Q55260926,ITB042220
Q55260927,ITB042223
Q55260928,ITB042225
Q55260930,ITB042226
Q55260931,ITB042230
Q55260932,ITB042237
Q55260933,ITB042247
Q55260934,ITB042250
Q55262393,ITB040017
Q55262394,ITB040018
Q55262395,ITB040019
Q55262397,ITB040020
Q55262398,ITB040024
Q55262399,ITB040025
Q55262400,ITB041112
Q55262401,ITB042233
Q55262402,ITB042234
Q55262403,ITB042236
Q55262404,ITB042251
Q55263111,ITB043025
Q55263112,ITB043026
Q55263113,ITB043027
Q55263114,ITB043028
Q55263115,ITB043032
Q55263116,ITB043035
Q55263117,ITB043054
Q55263118,ITB043056
Q55266239,ITB040022
Q55266241,ITB040023
Q55266243,ITB040051
Q55266245,ITB041106
Q55266277,ITB042207
Q55266247,ITB042216
Q55266249,ITB042231
Q55266250,ITB042241
Q55266251,ITB042242
Q55266252,ITB042243
Q55266349,ITB040021
Q55266351,ITB041105
Q55266353,ITB043055
Q55266356,ITB044002
Q55266358,ITB044003
