0COLY,ferdinand-coly
LONRA,raffaele-longo
LOUBO,konstantinos-loumpoutis
LPDGN,gianluca-lapadula
LPZMX,maxi-lopez
LRCFR,francesco-della-rocca
LRLRD,leonardo-loria
LRNDL,larangeira-danilo
LRNDN,daniele-lorenzini
LRNST,stefano-lorenzi
LRNVN,vincent-laurini
LRRND,marcelo-larrondo
LRSLV,lorenzo-de-silvestri
LSGKV,kevin-lasagna
LSHST,stephan-el-shaarawy
LSKRC,richard-lasik
LSLBR,luis-alberto
LSLVTR,salvatore-elia
LSMHTM,haitam-aleesami
LSZZN,andrea-lisuzzo
LTCFT,salvador-ichazo
LTLCSC,francesco-latella
LTSBS,sebastian-leto
LTSTTM,timo-letschert
LTTMNL,emmanuel-latte-lath
LTXVC,mattia-caldara
LTZGT,gaetano-letizia
LUCDAV,davide-lucarelli
LUCIA,andrea-luci
LUIPS,pasquale-luiso
LUPOL,arturo-lupoli
LVHLG,luigi-lavecchia
LVLCP,lucas-leiva
LVQPG,claud-adjapong
LVRJNR,maxime-leverbe
LVRMLN,maximiliano-olivera
LVRPB,pablo-alvarez
LVRPL,pablo-alvarez
LVRRC,ricardo-alvarez
LWQFZ,matteo-gasperi
LYMJWD,jawad-el-yamiq
LYNNVC,lyanco
LZRCH,achraf-lazaar
LZWBG,samuel-bastien
LZZCR,christian-terlizzi
LZZNDR,alessandro-lazzarini
LZZRN,andrea-lazzari
MAGNA,francesco-magnanelli
MAIGI,giampiero-maini
MALLEA,aly-malle-
MALRO,roberto-maltagliati
MANAM,amedeo-mangone
MANCS,matteo-mancosu
MANPAL,paolo-mandelli
MARCOA,aurelio-marco
MARDA,dario-marcolin
MAREC,victor-mareco
MARMA,massimo-marazzina
MARPT,pietro-marino
MASRI,riccardo-maspero
MATERA,paolo-matera
MATFLO,matjaz-florijancic
MAUROS,maurizio-rossi
MBBRH,ibrahima-mbaye
MBKJY,jerry-mbakogu
MBLCR,carlos-embalo
MCCMS,massimo-maccarone
MCDMR,macdonald-mariga
MCHLV,levan-mchedlidze
MCLLSS,alessio-miceli
MDBDC,mobido-diakite-
MDRBRT,roberto-amodio
MDRRR,iuri-medeiros
MDRZQ,hans-hateboer
MELIMA,marco-meli
MGGMT,mattia-maggio
MGHNT,innocent-emeghara
MGLFR,francesco-migliore
MGLMR,martin-miglionico
MGMRF,nicolas-castillo
MGNHR,hordur-magnusson
MHSBL,mirko-esposito
MICSA,salvatore-miceli
MILMA,mauro-milanese
MKNST,stephen-makinwa
MKSNK,nikola-maksimovic
MLBKRT,alexander-kert-molberg
MLCFD,federico-melchiorri
MLCHJ,hrvoje-milicevic
MLCRVJ,hrvoje-milic
MLGBR,gabriel-meli
MLGLPP,filippo-melegoni
MLKLN,leonardo-maloku
MLKRK,arkadiusz-milik
MLKSR,sergej-milinkovic-savic
MLLCNZ,vincenzo-millico
MLLMR,marco-mallus
MLLRF,raffaele-maiello
MLNMT,omar-milanetto
MLNNKL,nikola-milenkovic
MLNRC,cristian-molinaro
MLNVNJ,vanja-milinkovic-savic
MLRMT,matteo-melara
MMBCR,ciro-immobile
MMLPT,pietro-iemmello
MMSLD,ledian-memushaj
MNCGW,gianluca-mancini
MNCSL,salvatore-monaco
MNDPD,pedro-mendes
MNDRL,rolando-mandragora
MNFCH,christian-manfredini
MNFRA,francesco-mancini
MNGCC,emanuele-giaccherini
MNJRY,rey-manaj
MNLCL,emanuele-calaio-
MNLKS,kostas-manolas
MNLPC,manuel-pucciarelli
MNNND,daniele-mannini
MNPLG,luigi-monopoli
MNRMC,michelangelo-minieri
MNTLV,riccardo-montolivo
MNTMS,massimo-minetti
MNZFB,fabian-monzon
MOLIN,federico-molinari
MOREL,mauro-morello
MPHZX,lucas-boye-
MQKQR,andrea-danzi
MQMDC,luca-garritano
MQWCL,andrea-liotti
MRCCL,claudio-marchisio
MRCCM,marco-marchionni
MRCMW,mauricio
MRCRW,robert-muric
MRCSR,sergio-marcon
MRDDV,davide-mordini
MRGLS,alessandro-murgia
MRGMC,michel-morganella
MRGMS,massimo-margiotta
MRJJJ,joao-mario
MRJSJ,jose-mauri
MRKCLK,luka-markovic
MRLCQ,luca-mora
MRLGCM,giacomo-murelli
MRLGD,guido-marilungo
MRLLL,enrico-morello
MRLLS,luis-muriel
MRMTK,takayuki-morimoto
MRNFR,francesco-marianini
MRNHC,hector-moreno
MRNNT,antonio-mirante
MRNRCC,ferruccio-mariani
MRNTFN,stefano-marini
MRPRM,marcello-premoli
MRRLC,luca-marrone
MRRNC,nicola-murru
MRROS,marco-rossi
MRSCDM,adam-marusic
MRSNT,antonio-marasco
MRSNZ,enzo-maresca
MRSPL,emerson-palmieri
MRSRM,ramos-emerson
MRTBX,bruno-martella
MRTCN,aleksandar-trajkovski
MRTD9,dries-mertens
MRTDVD,davide-moretti
MRTGL,gilberto-martinez
MRTMB,emiliano-moretti
MRTRP,raphael-martinho
MRXXX,amauri
MRZMT,matias-martinez
MSBNS,massimiliano-benassi
MSCVD,vedin-music
MSHMT,mateo-musacchio
MSLLA,andrea-masiello
MSLSL,salvatore-masiello
MSNDM,adam-masina
MSQJY,jonny-mosquera
MTDBL,blaise-matuidi
MTHCR,carlos-matheu
MTRLS,alessandro-matri
MTRLX,alexandru-mitrita
MTSRY,ryder-matos
MTTDM,domenico-maietta
MTTFD,federico-mattiello
MUDYI,gaby-mudingayi
MUNTA,sulley-muntari
MYRYY,mauro-mayer
MZZLA,luca-mazzoni
MZZNN,antonio-mazzotta
MZZNR,andrea-mazzarani
NANIX,nani
NASTO,evangelos-nastos
NAVST,stefano-nava
NBMLV,oliver-n-siabamfumu
NCCST,costantin-nica
NCDRN,adriano-zancope-
NCLLG,luigi-anaclerio
NCLRLG,pierluigi-nicoli
NCLTT,marco-nicoletti
NCSFR,francesco-nicastro
NDJMR,mariano-andujar
NDLSN,sinisa-andelkovic
NDNVD,davide-biondini
NDRCHM,joachim-andersen
NDRDD,daniel-andersson
NDREUL,luis-ndreu
NDRFL,felipe-anderson
NDRNGZ,cengiz-under
NDRRB,anderson
NDSWZ,davide-frattesi
NERMA,maurizio-neri
NETOPE,pedro-neto
NGELO,angelo
NGLGB,gabriele-angella
NGLRR,roberto-inglese
NGLVNT,svante-ingelsson
NGRGN,gianmarco-ingrosso
NGRWW,luca-ungari
NGTYT,yuto-nagatomo
NGZGS,gaspar-iniguez
NHDNB,milan-djuric
NICELI,eligio-nicolini
NKLNC,nicolas-nkoulou
NLDMB,danilo-d-ambrosio
NLSDD,danilo-soddimo
NNLCN,luca-anania
NNMSK,maseko-nana
NNNRD,radja-nainggolan
NNWBD,pavol-bajza
NNZRMN,carmine-nunziata
NOCAN,antonio-nocerino
NQFXV,yann-karamoh
NQRMV,danilo-cataldi
NRDSS,alessandro-bernardini
NSGLR,lorenzo-insigne
NSLCR,cristian-ansaldi
NSTKLJ,ilija-nestorovski
NSTKLS,nikolaos-anastopoulos
NSTVL,valentin-nastase
NTLSC,luis-neto
NTNMN,antonio-montella
NTOSA,gleison-santos
NTRTR,artur-ionita
NWFZS,federico-dimarco
NZFRL,vincenzo-fiorillo
OBIJL,joel-obi
OBODO,christian-obodo
OBOLO,mauro-obolo
ODDMS,massimo-oddo
ORLANG,angelo-orlando
ORLPL,paolo-orlandoni
P-018,romani-tchanturia
P-023,andrew-gravillon
P-037,nicolas-garmendia
P-064,marco-pissardo
P-066,simone-edera
P-067,davide-buglio
P-160,luca-crosta
P-179,alberto-picchi
P-286,samuele-damiani
P-299,alessio-zini
P-341,vincenzo-ceci
P-395,niccolo-zanellato
P-404,ferdinando-del-sole
P-449,giuseppe-cuomo
P-498,giacomo-satalino
P-514,manuel-ferrini
P-517,luca-ranieri
P-519,thomas-bolis
P-533,nazareno-battista
P-542,francesco-forte
P-544,luca-pellegrini
P-557,riccardo-orsolini
P-639,marco-acatullo
P-732,vitja-valencic
P-826,andrea-romagnoli
P-827,manuel-de-luca
P-843,francesco-mele
P-889,xian-ghislaine-emmers
P-903,mattia-pitzalis
P-910,fabrizio-brignani
P-941,giuseppe-borello
P-945,gabriele-gori
P-948,zinho-vanheusden
P-970,antonio-candela
P-977,andrea-tessiore
P-978,michal-tomic
P-991,hamed-junior-traore
PADOI,simone-padoin
PADPA,pasquale-padalino
PAGGI,gianluca-pagliuca
PALOTT,ottavio-palladini
PALRF,raffaele-palladino
PAOLE,simone-paoletti
PARAN,aniello-parisi
PARPIE,pietro-parente
PARST,stefano-pardini
PAZZI,giampaolo-pazzini
PBLVB,iago-falque
PCCCC,massimo-paci
PCNCR,cristiano-piccini
PCRMR,marco-pecorari
PDLDN,daniele-padelli
PDVMC,michele-padovano
PECFA,fabio-pecchia
PEDRJ,joao-pedro
PERMA,marko-perovic
PERMT,matheus-pereira
PESMN,manolo-pestrin
PESSI,fabio-pessia
PETGN,gianluca-petrachi
PGLGL,gianluca-pegolo
PGLMK,mirko-pigliacelli
PGNCH,christian-puggioni
PGWCM,lorenzo-pellegrini
PGZCL,andrea-petagna
PIOLAM,lamberto-piovanelli
PIOSTE,stefano-pioli
PIOVE,alessandro-piovesan
PJCMR,marko-pjaca
PJNMR,miralem-pjanic
PJVNKL,nikola-pejovic
PLCRD,rodrigo-palacio
PLGLB,alberto-pelagotti
PLGRC,erick-pulgar
PLLMRC,marco-pullo
PLLPT,pietro-pellegri
PLLRNZ,lorenzo-peli
PLMCH,michele-paolucci
PLMNJS,jose-palomino
PLMSW,simone-palombi
PLNDR,andrea-poli
PLNHO,paulinho
PLSLB,alberto-paloschi
PLTGB,gabriele-paoletti
PLTGL,gabriel-paletta
PLTMX,matteo-politano
PLVLZ,lorenzo-polvani
PMDVG,miha-zajc
PMPMRC,marco-pompetti
PNDVG,goran-pandev
PNNGG,pinga
PNNLC,luca-paganini
PNRLX,alex-pinardi
PNSCR,carlo-pinsoglio
PNTCNZ,vincenzo-pinto
POGPAO,paolo-poggi
PONPA,paolo-ponzo
POTAL,alessandro-potenza
PPSMN,simone-pepe
PRBRY,brayan-perea
PRCFL,filippo-porcari
PRCGB,gabriele-perico
PRCVN,ivan-perisic
PRGMP,giampaolo-parisi
PRLGM,giampietro-perrulli
PRLMR,marco-parolo
PRMVS,vasyl-pryima
PRNLL,matteo-pero-nullo
PRNMX,mattia-perin
PRNNH,nicholas-pierini
PRNPT,pietro-perina
PRRFR,francesco-parravicini
PRRPM,pedro-pereira
PRSBR,bruno-peres
PRSGS,giuseppe-prestia
PRSLS,alessandro-parisi
PRTDG,diego-perotti
PRZGN,gino-peruzzi
PSCLR,lorenzo-pasciuti
PSCNE,fabio-pisacane
PSCRC,riccardo-piscitelli
PSCSM,simone-pesce
PSQCH,cristian-pasquato
PSQMN,manuel-pasqual
PSSDV,davide-possanzini
PTKBR,bruno-petkovic
PTPSW,zinedine-machach
PTRRL,bogdan-patrascu
PTTGN,ignacio-piatti
PTTST,stefano-pettinari
PULNI,nico-pulzetti
PVLLN,leonardo-pavoletti
PVNSM,simone-pavan
PVTMT,matteo-pivotto
PZZGC,giacomo-poluzzi
PZZGS,giuseppe-pezzella
PZZNL,nicola-pozzi
PZZRMN,german-pezzella
PZZSML,semuel-pizzignacco
QBBZL,rogerio
QBNBW,patrick-cutrone
QDTQG,carlos-carbonero
QGFLM,duje-cop
QGHMQ,bryan-dabo
QGLLG,fabio-quagliarella
QLNLB,alberto-aquilani
QRFPN,giovanni-crociata
QRZKS,toni-sunjic
QSLNB,francesco-faiella
QVBNF,andrea-pinamonti
QVPGW,fabio-aveni
QZWTT,benito-carbone
RANAL,luigi-rana
RAPMI,milan-rapaic
RAUTIN,nicola-rauti
RAVFA,fabrizio-ravanelli
RBNMT,matteo-rubin
RCCLG,luigi-riccio
RCCLSS,alessio-riccardi
RCFSZ,alessandro-bellemo
RCNWK,rafik-zekhnini
RCRMH,michele-arcari
RDLGR,gergely-rudolf
RDRHMS,thomas-rodriguez
RDRRC,ricardo-rodriguez
RDRRR,ribair-rodriguez
RDSTF,stefan-radu
RDVVN,ivan-radovanovic
RFFBN,raffaele-bianco
RFFRB,raffaele-rubino
RFFZL,luca-zanimacchia
RGGND,andrea-raggi
RGKGM,marijan-coric
RGMRK,marko-rog
RGNCH,christian-rigano-
RGNDN,daniele-rugani
RGNLC,luca-rigoni
RGNLD,reginaldo
RGNPPN,giuseppino-argentesi
RGNVS,vasco-regini
RGSMK,adam-ounas
RGSNT,antonino-ragusa
RHDMR,marcus-rohden
RIGNM,marco-rigoni
RJKSL,slobodan-rajkovic
RKCDJ,djordje-rakic
RKNBR,dawid-kownacki
RKTGD,luca-crecco
RLLLSS,alessio-rollandi
RLNLX,alexis-rolin
RLWQS,riccardo-bertozzi
RMGLS,alessio-romagnoli
RMGSM,simone-romagnoli
RMLBN,bogdan-lobont
RMLMZ,mattia-aramu
RMMRK,mirko-eramo
RMNCNZ,vincenzo-romano
RMRGS,gaston-ramirez
RMRJM,jaime-romero
RMRTLS,aristoteles-romero
RMSFLP,luiz-felipe
RMTSM,samuel-armenteros
RNAJS,pepe-reina
RNCND,andrea-ranocchia
RNCRL,carlos-arano
RNCSL,salvatore-aronica
RNCTM,tomas-rincon
RNDF0,fabian-rinaudo
RNDLN,leandro-rinaudo
RNGLX,angelo-rea
RNLCH,michele-rinaldi
RNLLS,alessandro-rinaldi
RNZFR,francesco-renzetti
RODXX,cristian-rodriguez
ROMCD,paul-codrea
ROMUL,romulo
ROSEL,fabio-roselli
ROSIL,aleandro-rosi
ROSMAS,massimiliano-rosa
RQRCR,cristobal-jorquera
RRRLX,alex-ferrari
RRRST,stefano-ferrario
RSNLS,alessandro-rosina
RSPGCM,giacomo-raspadori
RSPND,andrea-rispoli
RSSFN,francesco-rossi
RSSMR,marco-rossi
RSSSL,salvatore-russo
RSSVR,valerio-rosseti
RSTSF,stefan-ristovski
RSTSM,simone-aresti
RTJSTN,christian-rutjens-oliva
RTTMT,amato-ciciretti
RUIMR,mario-rui
RUSSOP,pio-francesco-russo
RVSMB,emanuel-rivas
RZZLC,luca-rizzo
RZZTFN,stefano-razzetti
SANDR,sandro
SARLG,luigi-sartor
SBLST,stefano-sabelli
SCAAL,alessio-scarpi
SCCDV,davide-succi
SCDRC,gabriel
SCGHX,sasa-lukic
SCHER,eros-schiavon
SCHPQ,patrik-schick
SCHPS,pasquale-schiattarella
SCHWAL,walter-schachner
SCINIC,nicolo-sciacca
SCMNLC,gianluca-scamacca
SCNGB,gabriele-scandurra
SCNNTN,antonio-sconziano
SCPMS,massimo-scoponi
SCRAN,antonio-scro-
SCRCHL,michael-scarf
SEPLG,luigi-sepe
SERILU,luca-seri
SERMA,matteo-sereni
SERNA,jorge-serna
SESTU,alessio-sestu
SFRHR,haris-seferovic
SGHMN,emanuele-suagher
SGNBK,bacary-sagna
SGNFC,franco-signorelli
SGPWF,everton-luiz
SGZDD,federico-ricci
SIMONI,luigi-simoni
SIRIG,salvatore-sirigu
SKLRV,ervin-skela
SKRLZ,lukasz-skorupski
SLBCC,salvatore-bocchetti
SLCHNY,eddie-salcedo
SLGLC,luca-siligardi
SLHNW,diego-rossetto
SLJCP,jacopo-sala
SLJCZ,cazim-suljic
SLLRD,roland-sallai
SLMBR,bartosz-salamon
SLSRN,ransford-selasi
SLVJH,jonathan-silva
SLVMT,matias-silvestre
SLVNW,andre-silva
SLVTFN,stefan-silva
SMARC,marco-sau
SMCRNC,lorenco-simic
SMCST,stefan-simic
SMDQT,gabriele-moncini
SMHKW,kwadwo-asamoah
SMKDRL,badra-ali-samake-
SMMPL,paolo-sammarco
SMNDG,diego-pablo-simeone
SMNVNN,giovanni-simeone
SMSMR,mario-sampirisi
SMSSR,simone-missiroli
SMYTN,simy
SNCLS,carlos-sanchez
SNCMTT,matteo-soncin
SNCND,andrea-soncin
SNDLX,alex-sandro
SNGRG,rigobert-song
SNGRKY,siriky-sanogo
SNLBR,alberto-frison
SNRNT,antonio-santurro
SNTDM,fabiano-santacroce
SNTDV,davide-santon
SNTMN,andrea-sentimenti
SNTSL,saul-santarelli
SOGSEA,sean-sogliano
SOMVI,vincenzo-sommese
SPLNF,nicolas-spolli
SPNLN,leonardo-spinazzola
SPNRD,riccardo-saponara
SPRDLC,luca-sparandeo
SPRMX,marco-sportiello
SPSTN,andrea-esposito
SPSVTR,salvatore-esposito
SPXMW,darko-lazovic
SPYSM,samuel-souprayen
SRGVN,giovanni-serao
SRMDLF,adolfo-sormani
SRRBD,badara-sarr
SSGTT,massimo-gotti
SSRLN,massimiliano-carlini
SSRMLN,massimiliano-ossari
SSSWW,andrea-sussi
SSTFM,lukas-haraslin
SSTND,andrea-russotto
STEFMA,marco-steffani
STEGI,giorgio-sterchele
STEMR,marco-stella
STJPVC,ognjen-stijepovic
STKMZ,mariusz-stepinski
STLCH,stephan-lichtsteiner
STLLNX,cristian-stellini
STNCR,cristhian-stuani
STNDN,adrian-stoian
STNGG,guglielmo-stendardo
STOMAS,massimo-storgato
STRAL,aljaz-struna
STRKN,kevin-strootman
STRMR,marco-storari
STRRSN,jens-stryger-larsen
STRSN,stefano-sturaro
STRSS,rodney-strasser
STTVQ,filippo-romagna
SULSA,salvatore-sullo
SWVMG,joao-schmidt
SXKWM,daniele-bartolini
SZCZW,wojciech-szczesny
SZJSS,suso
TARMAS,massimo-tarantino
TBNND,andrea-tabanelli
TBPFV,alfred-gomis
TCHPN,panagiotis-tachtsidis
TCLQD,pol-lirola
TDDRC,riccardo-taddei
TDGXH,alberto-grassi
TDRSP,saphir-taider
TEDGC,giacomo-tedesco
TEDGI,giovanni-tedesco
TENAN,andrea-tentoni
TFHZG,thomas-strakosha
TFXQR,senna-miangue
TGNLC,luca-tognozzi
THMMM,mame-thiam
THRCY,cyril-thereau
TLLND,andres-tello
TLWRG,dino-baggio
TMCGR,goran-tomic
TMMMR,marco-tumminello
TMMND,andrea-tummiolo
TMSST,stjepan-tomas
TMVNN,nenad-tomovic
TNLLN,lorenzo-tonelli
TNQXB,andrea-conti
TNVLK,aleksandar-tonev
TONLU,luca-toni
TPBTF,michele-cerofolini
TQGBW,gianluigi-donnarumma
TQSQW,andrea-nalini
TRAPA,paolo-tramezzani
TRBDL,adel-taarabt
TRBLG,luigi-turbacci
TRCHN,juan-turchi
TRDMH,michele-tardioli
TRLND,arlind-ajeti
TRMNC,nicola-strambelli
TRRMNL,emanuele-torrasi
TRSVL,vassilis-torosidis
TRTMR,marcello-trotta
TRZCL,claudio-terzi
TSCLN,alin-dorinel-tosca
TSDRNK,frank-tsadjout
TSNGX,ismael-taider
TSSLZ,lorenzo-tassi
TSTVT,vittorio-tosto
TSVCW,david-ivan
TTDLC,luca-di-matteo
TTHJH,joseph-tetteh
TTMRS,matteo-rossi
TURLU,luigi-turci
TWKZC,leonardo-marson
TWZZG,simone-caruso
TXRJR,jorge-teixeira
TZVDG,riccardo-sottil
TZZND,andrea-tozzo
VALDI,mirko-valdifiori
VALFE,federico-valorsi
VANLEO,leonard-van-utrecht
VBVMP,davide-calabria
VBWQH,souleymane-doukara
VCNMT,matias-vecino
VCZHW,marcelo-brozovic
VDPET,davide-petrachi
VDVNC,vincenzo-vado
VDWGR,gregory-van-der-wiel
VERCOR,corrado-verdelli
VERSM,simone-vergassola
VGNFB,fabio-vignaroli
VGNLC,luca-vigiani
VGNWN,federico-ravaglia
VGTFB,alberto-cerri
VHZCN,samir
VITRB,roberto-vitiello
VIVFAB,fabio-viviani
VKJRGN,dragan-vukoja
VKVJG,jagos-vukovic
VLAGOR,goran-vlaovic
VLBNN,nicolas-viola
VLBTV,gabriele-marchegiani
VLDCR,carlos-valdez
VLFRN,francesco-valiani
VLLRN1,lorenzo-valeau
VLNCJN,juan-valencia
VLNNH,nahuel-valentini
VLOSO,miguel-veloso
VLPSQ,alessio-viola
VLPVNN,giovanni-volpicelli
VLTMS,massimo-volta
VLTMT,mattia-valoti
VLVNM,jeremie-broh
VLWLL,william-viali
VLZLC,luca-valzania
VLZNLC,gianluca-volzone
VNNGH,ighli-vannucchi
VNTFP,lucas-torreira
VNTLZ,lorenzo-venuti
VRDSM,simone-verdi
VRGVN,ivan-vargic
VRLSL,silvestre-varela
VRRVL,valerio-verre
VRSCMK,mak-varesanovic
VRTJR,jordan-veretout
VRYZAS,zisis-vryzas
VSCBL,blazej-vascak
VSKFLP,filip-vasko
VSLFR,frederic-veseli
VSNNSL,sauli-vaisanen
VSSDM,adam-vass
VSTGN,gaetano-vastola
VTLTT,mattia-vitale
VVNFR,federico-viviani
VVNML,emiliano-viviano
VXKVT,amadou-diawara
VXPZB,norbert-balogh
WCHXC,josip-posavec
WDMSL,silvan-widmer
WFBRD,leonardo-rivoira
WGMLL,molla-wague
WILKE,wilker-pereira
WKMTF,luca-pipoli
WLLDS,wallace
WNDRW,ewandro
WQKBP,federico-gino
WRQNT,leonardo-capezzi
WZNVZ,davide-vitturini
WZRPC,simone-branca
XANDO,marco-andreolli
XCBLP,tiago-dias
XDELL,hernan-paolo-dellafiore
XDMLZ,grigoris-kastanos
XFLVH,wesley-hoedt
XHLWW,kamil-wilczek
XKEKO,keko
XKSLH,diego-laxalt
XLXKS,mohamed-fares
XMEGG,riccardo-meggiorini
XMGRS,simone-mancini
XQPKK,florin-logofatu
XQXSZ,roberto-gagliardini
XSWTD,elio-capradossi
XTCHZ,solomon-nyantakyi
XTWGD,lisandro-lopez
XXCZK,stipe-perica
XXNLW,alex-meret
XZPFR,ouasim-bouy
XZPNB,stephane-omeonga
YSSVL,valentin-eysseric
ZANCR,cristiano-zanetti
ZANMA,marco-zanchi
ZAPPI,massimo-zappino
ZAULA,lamberto-zauli
ZBLDV,davide-zoboli
ZBLHR,cristian-dell-orco
ZBNNN,jonathan-zebina
ZCCRD,cristian-zaccardo
ZCLBR,bruno-zuculini
ZCMRN,mariano-izco
ZCWRH,stefano-sensi
ZDLQH,robin-quaison
ZEDRD,jose-ze-eduardo
ZEMAR,ze-maria
ZGSQW,federico-marini
ZHHVD,antonio-di-gaudio
ZKALA,zeljko-kalac
ZKNRV,ervin-zukanovic
ZLKPT,piotr-zielinski
ZLNNC,francesco-bolzoni
ZLTMC,marcelo-zalayeta
ZMBLL,marco-zambelli
ZMLKS,lukas-zima
ZMPFR,francesco-zampano
ZNLNCL,nicolo-zaniolo
ZNNPL,paolo-zanetti
ZPGRP,christopher-oikonomidis
ZPPDV,davide-zappacosta
ZPRDR,dario-zuparic
ZPTDV,duvan-zapata
ZPTLX,alexis-zapata
ZPTVL,christian-zapata
ZRBFR,francesco-zerbini
ZRKMD,marc-andre-zoro
ZVGNL,luciano-zavagno
ZZDRD,ze-eduardo
ZZRMN,armando-izzo
ZZXXX,mauricio-lemos
